site,treatments,salinity,nutrients,sample_code,chlorophyll_a,pH,initial_conductivity,conductivity,oxygen,nitrites,phosphates,treatment
Evora,Control salinity / Control nutrients,Ambient,Ambient,EA,31.16,9.75,1.433,1.952,0.87,0.025,6.5,ASAN
Evora,Control salinity / Control nutrients,Ambient,Ambient,EB,23.23,9.19,0.687,1.004,3.59,0.025,8.6,ASAN
Evora,Control salinity / Control nutrients,Ambient,Ambient,EC,114.1,8.72,1.367,1.821,0.52,0.025,9,ASAN
Evora,Control salinity / Control nutrients,Ambient,Ambient,ED,55.7,9.13,0.947,1.18,0.67,0.025,3.1,ASAN
Evora,Control salinity / Control nutrients,Ambient,Ambient,EF,46.18,10.11,1.202,1.653,9.09,0.025,2.6,ASAN
Evora,High salinity / High nutrients,High,High,EG,211.3,10.07,5.74,38.5,21.38,0.025,0.63,HSEN
Evora,High salinity / High nutrients,High,High,EH,501.8,10.47,34.5,45.9,13.48,0.025,4.87,HSEN
Evora,High salinity / High nutrients,High,High,EI,122,9.15,37.8,43.2,2.88,0.025,6.8,HSEN
Evora,High salinity / High nutrients,High,High,EJ,465.2,9.85,32.2,47.7,16.19,0.025,7.2,HSEN
Evora,High salinity / Control nutrients,High,Ambient,EK,69.69,9.62,20.83,35.8,12.79,0.025,0.8,HSAN
Evora,High salinity / Control nutrients,High,Ambient,EL,949.9,10.8,0.02,24.6,15.73,0.025,6.23,HSAN
Evora,High salinity / Control nutrients,High,Ambient,EM,106.8,10.02,28,46.3,15.93,0.025,12,HSAN
Evora,High salinity / Control nutrients,High,Ambient,EN,225.8,10,27.8,41.9,18.49,0.025,5.9,HSAN
Evora,Control salinity / High nutrients,Ambient,High,EO,68.48,9.58,0.732,0.854,1.66,0.025,0.67,ASEN
Evora,Control salinity / High nutrients,Ambient,High,EP,230.6,9.33,1.37,1.788,0.82,0.025,13.7,ASEN
Evora,Control salinity / High nutrients,Ambient,High,EQ,36.26,9.92,0.684,1.027,0.7,0.025,7.6,ASEN
Evora,Control salinity / High nutrients,Ambient,High,ER,19.89,9.36,0.653,0.855,1.13,0.025,1.6,ASEN
Evora,Low salinity / High nutrients,Low,High,ES,51.29,9.24,3.46,13.48,0.9,0.025,8.4,MSEN
Evora,Low salinity / High nutrients,Low,High,ET,92.31,9.04,2.98,12.38,4.66,0.025,2.4,MSEN
Evora,Low salinity / High nutrients,Low,High,EU,142.5,10.26,4.94,14,15.31,0.025,6.5,MSEN
Evora,Low salinity / High nutrients,Low,High,EV,322.6,9.97,8.46,12.55,5.65,0.025,6.5,MSEN
Evora,Low salinity / Control nutrients,Low,Ambient,EW,25.39,9,10.1,10.1,3.01,0.025,2.8,MSAN
Evora,Low salinity / Control nutrients,Low,Ambient,EX,26.82,9.8,13.23,13.23,1.33,0.025,8.6,MSAN
Evora,Low salinity / Control nutrients,Low,Ambient,EY,253.3,10.21,12.95,12.95,21.92,0.025,1.5,MSAN
Evora,Low salinity / Control nutrients,Low,Ambient,EZ,89.2,9.23,11.31,14.41,12.89,0.025,0.53,MSAN
Jaca,Control salinity / Control nutrients,Ambient,Ambient,JA,3.883,8.24,0.401,0.356,8.26,0.025,0.05,ASAN
Jaca,Control salinity / Control nutrients,Ambient,Ambient,JB,5.58,8.24,0.508,0.493,8.5,0.025,0.05,ASAN
Jaca,Control salinity / Control nutrients,Ambient,Ambient,JC,2.666,8.21,0.493,0.417,6.28,0.025,0.05,ASAN
Jaca,Control salinity / Control nutrients,Ambient,Ambient,JD,2.291,9.91,0.1615,0.149,12.46,0.025,0.05,ASAN
Jaca,High salinity / High nutrients,High,High,JF,33.85,8.32,46.6,40.8,13.97,0.025,2.5,HSEN
Jaca,High salinity / High nutrients,High,High,JG,19.25,8.38,24.7,18.98,10.43,0.025,0.09,HSEN
Jaca,High salinity / High nutrients,High,High,JH,5.269,8.43,0.416,0.347,8.94,0.025,0.05,HSEN
Jaca,High salinity / High nutrients,High,High,JI,46.45,8.8,24.4,17.41,11.46,0.025,0.05,HSEN
Jaca,High salinity / Control nutrients,High,Ambient,JJ,5.526,7.87,39.5,31.6,7.21,0.031,0.05,HSAN
Jaca,High salinity / Control nutrients,High,Ambient,JK,5.17,9.88,0.231,0.236,11.63,0.025,0.76,HSAN
Jaca,High salinity / Control nutrients,High,Ambient,JL,1.504,8.63,0.471,0.302,9.85,0.025,0.05,HSAN
Jaca,High salinity / Control nutrients,High,Ambient,JM,2.45,8.19,24.3,23.4,9.65,0.025,0.05,HSAN
Jaca,Control salinity / High nutrients,Ambient,High,JN,10.08,8.78,0.504,0.423,11.04,0.025,0.05,ASEN
Jaca,Control salinity / High nutrients,Ambient,High,JO,9.099,9.01,0.3,0.245,9.41,0.025,0.05,ASEN
Jaca,Control salinity / High nutrients,Ambient,High,JP,0.313,8.65,0.494,0.264,10.73,0.025,0.05,ASEN
Jaca,Control salinity / High nutrients,Ambient,High,JQ,1.568,9.71,0.373,0.1542,13.15,0.025,0.05,ASEN
Jaca,Low salinity / High nutrients,Low,High,JR,6.868,8.48,8.89,8.39,10.26,0.025,0.05,MSEN
Jaca,Low salinity / High nutrients,Low,High,JS,7.288,8.77,6.93,7.77,11.26,0.025,0.05,MSEN
Jaca,Low salinity / High nutrients,Low,High,JT,13.7,9.14,6.75,8.28,11.33,0.025,0.16,MSEN
Jaca,Low salinity / High nutrients,Low,High,JU,3.939,8.97,7.37,8.2,11.14,0.025,0.05,MSEN
Jaca,Low salinity / Control nutrients,Low,Ambient,JV,14.35,7.97,9.98,8.52,8.75,0.025,0.05,MSAN
Jaca,Low salinity / Control nutrients,Low,Ambient,JW,4.83,8.78,9.16,8.2,10.62,0.025,0.05,MSAN
Jaca,Low salinity / Control nutrients,Low,Ambient,JX,3.618,8.51,6.15,6.41,11.01,0.025,0.05,MSAN
Jaca,Low salinity / Control nutrients,Low,Ambient,JY,2.987,8.58,7.33,8.9,10.06,0.025,0.05,MSAN
Porto,Control salinity / Control nutrients,Ambient,Ambient,PA,15.31,6.7,0.0444,0.0478,12.99,0.025,0.05,ASAN
Porto,Control salinity / Control nutrients,Ambient,Ambient,PB,10.66,7.08,0.0788,0.1772,9.98,0.025,0.05,ASAN
Porto,Control salinity / Control nutrients,Ambient,Ambient,PC,20.125,7.09,0.0629,0.1616,13.85,0.025,0.05,ASAN
Porto,Control salinity / Control nutrients,Ambient,Ambient,PD,38180,6.32,0.0433,0.0695,10.35,0.025,0.05,ASAN
Porto,High salinity / High nutrients,High,High,PF,4.551,4.2,29.3,32.2,11.13,0.025,0.05,HSEN
Porto,High salinity / High nutrients,High,High,PG,63.72,5.76,13.74,30,13.1,0.025,0.05,HSEN
Porto,High salinity / High nutrients,High,High,PH,25.92,6.29,29.1,25.2,3.33,0.025,0.05,HSEN
Porto,High salinity / High nutrients,High,High,PI,24.8,5.45,28.8,31.3,5.7,0.025,0.05,HSEN
Porto,High salinity / Control nutrients,High,Ambient,PP,4.106,4.39,26,30,6.67,0.025,0.05,HSAN
Porto,High salinity / Control nutrients,High,Ambient,PK,74.97,6.25,23.9,30.5,13.86,0.025,1.2,HSAN
Porto,High salinity / Control nutrients,High,Ambient,PL,87.15,6.23,26.8,35,13.37,0.025,0.05,HSAN
Porto,High salinity / Control nutrients,High,Ambient,PM,12.67,3.71,23.2,31.1,11.06,0.025,0.05,HSAN
Porto,Control salinity / High nutrients,Ambient,High,PN,27.06,6.39,0.054,0.0434,6.65,0.025,0.05,ASEN
Porto,Control salinity / High nutrients,Ambient,High,PO,48.28,6.71,0.051,0.042,13.92,0.025,0.05,ASEN
Porto,Control salinity / High nutrients,Ambient,High,PP,89.19,6.78,0.0746,0.1008,9.59,0.025,0.05,ASEN
Porto,Control salinity / High nutrients,Ambient,High,PQ,14.55,6.36,0.0597,0.0695,14.93,0.025,0.05,ASEN
Porto,Low salinity / High nutrients,Low,High,PR,1.834,6.98,11.78,12.61,10.05,0.025,0.05,MSEN
Porto,Low salinity / High nutrients,Low,High,PS,7.943,5.82,0.00976,10.51,10.16,0.025,0.05,MSEN
Porto,Low salinity / High nutrients,Low,High,PT,7.269,5.37,11.36,11.97,12.1,0.025,0.05,MSEN
Porto,Low salinity / High nutrients,Low,High,PU,5.891,5.78,8.1,11.48,11.35,0.025,0.05,MSEN
Porto,Low salinity / Control nutrients,Low,Ambient,PV,6.726,7.08,6.19,10.48,8.13,0.025,0.05,MSAN
Porto,Low salinity / Control nutrients,Low,Ambient,PW,0.124,5.29,8.92,12.04,12.48,0.025,0.05,MSAN
Porto,Low salinity / Control nutrients,Low,Ambient,PX,1.014,4.58,8.77,11.3,7.26,0.025,0.05,MSAN
Porto,Low salinity / Control nutrients,Low,Ambient,PY,6.058,4.22,7.06,11.58,7.81,0.025,0.05,MSAN
